course1,course2,n_students
5051HBV202G20250,5051HBV403G20250,6
5051HBV403G20250,5051HBV202G20250,6
5051HBV202G20250,5051HBV601G20250,11
5051HBV601G20250,5051HBV202G20250,11
5051HBV202G20250,5051TÖL203G20250,18
5051TÖL203G20250,5051HBV202G20250,18
5051HBV202G20250,5051TÖL403G20250,3
5051TÖL403G20250,5051HBV202G20250,3
5051HBV403G20250,5051HBV601G20250,30
5051HBV601G20250,5051HBV403G20250,30
5051HBV403G20250,5051TÖL203G20250,4
5051TÖL203G20250,5051HBV403G20250,4
5051HBV403G20250,5051TÖL403G20250,47
5051TÖL403G20250,5051HBV403G20250,47
5051HBV601G20250,5051TÖL203G20250,2
5051TÖL203G20250,5051HBV601G20250,2
5051HBV601G20250,5051TÖL403G20250,41
5051TÖL403G20250,5051HBV601G20250,41
5051TÖL203G20250,5051TÖL403G20250,6
5051TÖL403G20250,5051TÖL203G20250,6
5051VÉL065G20250,5051VÉL201G20250,46
5051VÉL201G20250,5051VÉL065G20250,46
5051VÉL065G20250,5051VÉL202G20250,45
5051VÉL202G20250,5051VÉL065G20250,45
5051VÉL065G20250,5051VÉL606M20250,10
5051VÉL606M20250,5051VÉL065G20250,10
5051VÉL065G20250,5055EÐL201G20250,46
5055EÐL201G20250,5051VÉL065G20250,46
5051VÉL065G20250,5055STÆ203G20250,41
5055STÆ203G20250,5051VÉL065G20250,41
5051VÉL065G20250,5055STÆ205G20250,48
5055STÆ205G20250,5051VÉL065G20250,48
5051VÉL201G20250,5051VÉL202G20250,54
5051VÉL202G20250,5051VÉL201G20250,54
5051VÉL201G20250,5051VÉL606M20250,12
5051VÉL606M20250,5051VÉL201G20250,12
5051VÉL201G20250,5055EÐL201G20250,52
5055EÐL201G20250,5051VÉL201G20250,52
5051VÉL201G20250,5055STÆ203G20250,44
5055STÆ203G20250,5051VÉL201G20250,44
5051VÉL201G20250,5055STÆ205G20250,34
5055STÆ205G20250,5051VÉL201G20250,34
5051VÉL202G20250,5051VÉL606M20250,14
5051VÉL606M20250,5051VÉL202G20250,14
5051VÉL202G20250,5055EÐL201G20250,51
5055EÐL201G20250,5051VÉL202G20250,51
5051VÉL202G20250,5055STÆ203G20250,46
5055STÆ203G20250,5051VÉL202G20250,46
5051VÉL202G20250,5055STÆ205G20250,36
5055STÆ205G20250,5051VÉL202G20250,36
5051VÉL606M20250,5055EÐL201G20250,11
5055EÐL201G20250,5051VÉL606M20250,11
5051VÉL606M20250,5055STÆ203G20250,18
5055STÆ203G20250,5051VÉL606M20250,18
5051VÉL606M20250,5055STÆ205G20250,17
5055STÆ205G20250,5051VÉL606M20250,17
5055EÐL201G20250,5055STÆ203G20250,44
5055STÆ203G20250,5055EÐL201G20250,44
5055EÐL201G20250,5055STÆ205G20250,55
5055STÆ205G20250,5055EÐL201G20250,55
5055STÆ203G20250,5055STÆ205G20250,109
5055STÆ205G20250,5055STÆ203G20250,109
4041HÍT201G20250,4041ÍÞH210G20250,31
4041ÍÞH210G20250,4041HÍT201G20250,31
4041HÍT201G20250,4041ÍÞH212G20250,39
4041ÍÞH212G20250,4041HÍT201G20250,39
4041HÍT201G20250,4041ÍÞH213G20250,48
4041ÍÞH213G20250,4041HÍT201G20250,48
4041HÍT201G20250,4041ÍÞH215G20250,48
4041ÍÞH215G20250,4041HÍT201G20250,48
4041ÍÞH210G20250,4041ÍÞH212G20250,30
4041ÍÞH212G20250,4041ÍÞH210G20250,30
4041ÍÞH210G20250,4041ÍÞH213G20250,33
4041ÍÞH213G20250,4041ÍÞH210G20250,33
4041ÍÞH210G20250,4041ÍÞH215G20250,33
4041ÍÞH215G20250,4041ÍÞH210G20250,33
4041ÍÞH212G20250,4041ÍÞH213G20250,41
4041ÍÞH213G20250,4041ÍÞH212G20250,41
4041ÍÞH212G20250,4041ÍÞH215G20250,41
4041ÍÞH215G20250,4041ÍÞH212G20250,41
4041ÍÞH213G20250,4041ÍÞH215G20250,50
4041ÍÞH215G20250,4041ÍÞH213G20250,50
2023HGF204G20250,3031ENS442G20250,1
3031ENS442G20250,2023HGF204G20250,1
2023HGF204G20250,3033ÍSE007G20250,1
3033ÍSE007G20250,2023HGF204G20250,1
2023HGF204G20250,3033ÍSE014G20250,1
3033ÍSE014G20250,2023HGF204G20250,1
3031ENS442G20250,3033ÍSE007G20250,1
3033ÍSE007G20250,3031ENS442G20250,1
3031ENS442G20250,3033ÍSE014G20250,1
3033ÍSE014G20250,3031ENS442G20250,1
3033ÍSE007G20250,3033ÍSE014G20250,35
3033ÍSE014G20250,3033ÍSE007G20250,35
1016VIÐ201G20250,1016VIÐ204G20250,241
1016VIÐ204G20250,1016VIÐ201G20250,241
1016VIÐ201G20250,1016VIÐ205G20250,227
1016VIÐ205G20250,1016VIÐ201G20250,227
1016VIÐ201G20250,1016VIÐ258G20250,228
1016VIÐ258G20250,1016VIÐ201G20250,228
1016VIÐ201G20250,1016VIÐ263G20250,238
1016VIÐ263G20250,1016VIÐ201G20250,238
1016VIÐ204G20250,1016VIÐ205G20250,228
1016VIÐ205G20250,1016VIÐ204G20250,228
1016VIÐ204G20250,1016VIÐ258G20250,232
1016VIÐ258G20250,1016VIÐ204G20250,232
1016VIÐ204G20250,1016VIÐ263G20250,236
1016VIÐ263G20250,1016VIÐ204G20250,236
1016VIÐ205G20250,1016VIÐ258G20250,234
1016VIÐ258G20250,1016VIÐ205G20250,234
1016VIÐ205G20250,1016VIÐ263G20250,227
1016VIÐ263G20250,1016VIÐ205G20250,227
1016VIÐ258G20250,1016VIÐ263G20250,226
1016VIÐ263G20250,1016VIÐ258G20250,226
1012FRG238F20250,1012FRG240F20250,87
1012FRG240F20250,1012FRG238F20250,87
