name,cid,lcid
Notkun upplýsingartækni í dönskukennslu,ÍET301F,4044ÍET301F20246
Starfstími,OSS402F,1015OSS402F20250
Málkerfið – hljóð og orð,ÍSL209G,3033ÍSL209G20250
Matargerð til forna,FOR303M,3034FOR303M20246
Klínísk starfsþjálfun í skurðhjúkrun II,HJÚ282F,2021HJÚ282F20250
Tölvusneiðmyndir 1,GSL411G,2023GSL411G20250
Matvælaverkfræði 2,MAT803F,2024MAT803F20250
Lokaverkefni,ÍÞH442L,4041ÍÞH442L20246
Yngstu börnin í leikskólanum,LSK006G,4042LSK006G20246
Málstofa í efnafræði og lífefnafræði,EFN012F,5055EFN012F20246
Kennslufræði starfsgreina – seinni hluti,KEN402G,4042KEN402G20250
Fagrýni,LYF503F,2022LYF503F20246
Lokaverkefni,TÁK261L,3033TÁK261L20250
Málfræði I,ÍSE102G,3033ÍSE102G20253
Málrækt og málfræðikennsla,ÍET106F,4044ÍET106F20246
Sérverkefni í landfræði,LAN021M,5053LAN021M20246
Alþjóðleg verkefni og verkefnasöfn,VIÐ277F,1016VIÐ277F20250
Inngangur í þverfræðileg heilbrigðisvísindi - heilbrigðisvísindadagurinn,HVS202G,2023HVS202G20250
Geðlæknisfræði,LÆK404F,2023LÆK404F20250
Tölvunarfræði 1,TÖL101G,5051TÖL101G20246
Opinber stefnumótun,STJ501G,1015STJ501G20246
MA-ritgerð í mannfræði,MAN441L,1011MAN441L20250
Vettvangsnám fyrir skiptinema,MEX022G,4042MEX022G20246
Aðferðafræði,HJÚ243G,2021HJÚ243G20250
Lokaverkefni,BYG441L,5056BYG441L20253
Námskrá og námsmat,KME402G,4042KME402G20250
Stríðsmyndir,KVI321G,3033KVI321G20246
Hegðun og tilfinningar barna: Áskoranir og úrræði,MAL003F,4042MAL003F20250
"Rannsóknir, nýsköpun og þróun",VÉL510G,5051VÉL510G20246
Ritlist og bókmenntir,ÍET004M,4044ÍET004M20246
Verkleg efnafræði 1,EFN109G,5055EFN109G20246
BS-verkefni í efnafræði,EFN261L,5055EFN261L20250
M. Phil. ritgerð í hagnýtri siðfræði,SIÐ562L,3034SIÐ562L20250
Þróunarstarf í menntastofnunum,STM110F,4043STM110F20246
Staðartengd útimenntun,TÓS001M,4041TÓS001M20253
Verkefni í alþjóðasamskiptum,ASK215F,1015ASK215F20246
Verkefni til meistaraprófs í líftölfræði,LTF301F,6061LTF301F20246
Lesnámskeið,ÞRS002F,4041ÞRS002F20246
"Barnatannlækningar III, verklegt",TAN607G,2026TAN607G20246
Áhrifavaldalíkön af máli í ljósi flókinna kerfa,MLT806F,3033MLT806F20250
Lokaverkefni,HBV442L,5051HBV442L20246
Starfsþjálfun,HBV004G,5051HBV004G20253
Sérverkefni,JAR032M,5052JAR032M20246
Lyfjaeiturefnafræði,LYF213F,2022LYF213F20250
Efnagreining,EFN208G,5055EFN208G20250
Lokaverkefni,UMV561L,5056UMV561L20253
"Lífeindafræði, kynning",LEI101G,2023LEI101G20246
Geðheilbrigði,HJÚ0B7F,2021HJÚ0B7F20246
Verkleg efnafræði 2,EFN210G,5055EFN210G20250
Verkefni til meistaraprófs í líftölfræði,LTF301F,6061LTF301F20250
Heimspeki og kvikmyndir,HSP410G,3034HSP410G20250
Agile og straumlínustjórnun,VIÐ188F,1016VIÐ188F20246
Vinnusálfræði,IÐN404G,5051IÐN404G20250
Líkindafræði og forritun (Líkindareikningur og tölfræði),HAG108G,1013HAG108G20246
Aðstoðarkennsla í BA námskeiðum (Stjórnskipunarréttur),LÖG024F,1014LÖG024F20250
BA-ritgerð í spænsku,SPÆ241L,3031SPÆ241L20246
"Ójöfnuður: Efnahagur, kyn og minnihlutahópar",FÉL264G,1011FÉL264G20250
Úrvinnsla 2,FOR808F,3034FOR808F20250
Stærðfræðigreining IV,STÆ401G,5055STÆ401G20250
Bitfræði verkleg,TAN104G,2026TAN104G20250
Starfsreynsla við uppgröft eða safn,FOR311G,3034FOR311G20250
Alþjóðleg myndlist frá 1960 til samtíma,LIS248G,3033LIS248G20250
Ritstjórn og hönnun prentgripa,RÚT803F,3033RÚT803F20250
Fjármálamarkaðir,LÖG180F,1014LÖG180F20246
Einstaklingsverkefni - MT í sögukennslu,SAG401F,3034SAG401F20250
Inngangur að lögfræði sem aukagrein,LÖG104G,1014LÖG104G20246
Myndvinnsla og landgreiningar í jarðfræðirannsóknum,JAR251F,5052JAR251F20250
Rannsóknaraðferðir I: aðföng og aðferðir,ENS136G,3031ENS136G20246
"Mál, skóli og samfélag",ÍET001G,4044ÍET001G20246
Lokaverkefni,GKY401L,4042GKY401L20253
Klínísk lífefnafræði - sjúkdómafræði,LEI309G,2023LEI309G20246
Partagerð II,TAN524G,2026TAN524G20246
Rannsóknaraðferðir í annarsmálsfræðum,AMF001F,3033AMF001F20246
Rannsóknarverkefni til meistaraprófs í næringarfræði,NÆR441L,2024NÆR441L20246
Stjórnun og menntun - reynsla af vettvangi,STM029F,4043STM029F20250
Bresk og evrópsk menningarsaga,ENS103G,3031ENS103G20246
Starfsþjálfun í hagnýtri atferlisgreiningu 1,ATF103F,6061ATF103F20246
Rannsóknarverkefni i líffræði,LÍF265L,5053LÍF265L20253
BS-verkefni í efnafræði,EFN261L,5055EFN261L20253
Tæknifræðibrú 1,TÆK002G,5054TÆK002G20246
Inngangur að frumulíffræði,LVF301G,5051LVF301G20246
Verkefni í kynjafræðum,KYN413G,1015KYN413G20250
Doktorsritgerð í hagnýtri siðfræði,SIÐ561L,3034SIÐ561L20250
Námskeið til meistaraprófs í eðlisfræði,EÐL212F,5055EÐL212F20250
Himnutækni,UMV501M,5056UMV501M20246
Málstofa um doktorsnám,FVS701F,1011FVS701F20250
Alþjóðaviðskipti,VIÐ180F,1016VIÐ180F20246
Leslistanámskeið í doktorsnámi,ÍSB037F,3033ÍSB037F20246
Aðferðir í sjúkraþjálfun I,SJÚ205G,2023SJÚ205G20250
Heilsuefling II,SJÚ412G,2023SJÚ412G20250
BA-ritgerð í almennri bókmenntafræði,ABF261L,3033ABF261L20250
BS-verkefni í landfræði (einstaklingsverkefni),LAN219L,5053LAN219L20253
Meistaraverkefni,LJÓ443L,2021LJÓ443L20246
