year,category,scid,did,lcid,pid,fid
-1,O,10,11,1011FÉL001F20246,AFB441,-1
-1,O,10,11,1011FÉL090F20246,AFB441,-1
-1,O,10,11,1011FMÞ102F20246,AFB441,-1
1,C,10,11,1011FMÞ103F20246,AFB441,-1
1,M,10,11,1011FÉL0A1F20246,AFB441,-1
1,M,10,11,1011FÉL301F20246,AFB441,-1
1,M,10,11,1011FÉL302F20246,AFB441,-1
2,M,10,11,1011AFB401L20246,AFB441,-1
-1,C,10,11,1011FÉL107G20246,FÉL221,-1
-1,C,10,11,1011FÉL109G20246,FÉL221,-1
-1,C,10,11,1011FÉL209G20246,FÉL221,-1
-1,C,10,11,1011FÉL302G20246,FÉL221,-1
-1,C,10,11,1011FÉL303G20246,FÉL221,-1
-1,C,10,11,1011FÉL304G20246,FÉL221,-1
-1,C,10,11,1011FÉL306G20246,FÉL221,-1
-1,C,10,11,1011FÉL309G20246,FÉL221,-1
-1,C,10,11,1011FÉL323G20246,FÉL221,-1
-1,C,10,11,1011FÉL328G20246,FÉL221,-1
-1,C,10,11,1011FÉL330G20246,FÉL221,-1
-1,C,10,11,1011FÉL331G20246,FÉL221,-1
-1,M,10,11,1011FÉL102G20246,FÉL221,-1
-1,M,10,11,1011FÉL308G20246,FÉL221,-1
1,M,10,11,1011FÉL102G20246,FÉL241,-1
1,M,10,11,1011FÉL107G20246,FÉL241,-1
1,M,10,11,1011FÉL108G20246,FÉL241,-1
1,M,10,11,1011FÉL109G20246,FÉL241,-1
2,C,10,11,1011FÉL302G20246,FÉL241,-1
2,C,10,11,1011FÉL303G20246,FÉL241,-1
2,C,10,11,1011FÉL304G20246,FÉL241,-1
2,C,10,11,1011FMÞ302G20246,FÉL241,-1
2,C,10,11,1011FÉL209G20246,FÉL241,-1
2,C,10,11,1011FÉL309G20246,FÉL241,-1
2,C,10,11,1011FÉL323G20246,FÉL241,-1
2,C,10,11,1011FÉL328G20246,FÉL241,-1
2,C,10,11,1011FÉL330G20246,FÉL241,-1
2,C,10,11,1011FÉL331G20246,FÉL241,-1
2,M,10,11,1011FÉL241L20246,FÉL241,-1
2,M,10,11,1011FÉL306G20246,FÉL241,-1
2,M,10,11,1011FÉL308G20246,FÉL241,-1
2,M,10,11,1011FÉL501G20246,FÉL241,-1
2,M,10,11,1011FÉL601G20246,FÉL241,-1
2,O,10,11,1011MAN103G20246,FÉL241,-1
2,O,10,11,1011MAN344G20246,FÉL241,-1
2,O,10,11,1011MAN509M20246,FÉL241,-1
2,O,10,11,1011ÞJÓ103G20246,FÉL241,-1
2,O,10,11,1011ÞJÓ104G20246,FÉL241,-1
2,O,10,11,1011ÞJÓ110F20246,FÉL241,-1
2,O,10,11,1011ÞJÓ334G20246,FÉL241,-1
2,O,10,11,1012FRG103G20246,FÉL241,-1
2,O,10,11,1016VIÐ510G20246,FÉL241,-1
-1,C,10,11,1011FMÞ302G20246,FÉL261,-1
-1,C,10,11,1011FÉL209G20246,FÉL261,-1
-1,C,10,11,1011FÉL302G20246,FÉL261,-1
-1,C,10,11,1011FÉL303G20246,FÉL261,-1
-1,C,10,11,1011FÉL304G20246,FÉL261,-1
-1,C,10,11,1011FÉL309G20246,FÉL261,-1
-1,C,10,11,1011FÉL323G20246,FÉL261,-1
-1,C,10,11,1011FÉL328G20246,FÉL261,-1
-1,C,10,11,1011FÉL330G20246,FÉL261,-1
-1,C,10,11,1011FÉL331G20246,FÉL261,-1
-1,O,10,11,1011MAN103G20246,FÉL261,-1
-1,O,10,11,1011MAN344G20246,FÉL261,-1
-1,O,10,11,1011MAN509M20246,FÉL261,-1
-1,O,10,11,1011ÞJÓ103G20246,FÉL261,-1
-1,O,10,11,1011ÞJÓ104G20246,FÉL261,-1
-1,O,10,11,1011ÞJÓ110F20246,FÉL261,-1
-1,O,10,11,1011ÞJÓ334G20246,FÉL261,-1
-1,O,10,11,1015KYN106G20246,FÉL261,-1
-1,O,10,11,1015KYN302G20246,FÉL261,-1
-1,O,10,11,1015KYN304G20246,FÉL261,-1
-1,O,10,11,1015KYN314G20246,FÉL261,-1
-1,O,10,11,1016VIÐ510G20246,FÉL261,-1
1,M,10,11,1011FÉL102G20246,FÉL261,-1
1,M,10,11,1011FÉL107G20246,FÉL261,-1
1,M,10,11,1011FÉL108G20246,FÉL261,-1
1,M,10,11,1011FÉL109G20246,FÉL261,-1
2,M,10,11,1011FÉL306G20246,FÉL261,-1
2,M,10,11,1011FÉL308G20246,FÉL261,-1
3,M,10,11,1011FÉL261L20246,FÉL261,-1
3,M,10,11,1011FÉL501G20246,FÉL261,-1
3,M,10,11,1011FÉL601G20246,FÉL261,-1
-1,M,10,11,1011FÉL301F20246,FÉL3Ö1,266
-1,O,10,11,1011FÉL0A1F20246,FÉL3Ö1,266
-1,M,10,11,1011FÉL0A1F20246,FÉL3Ö1,267
-1,O,10,11,1011FÉL301F20246,FÉL3Ö1,267
-1,O,10,11,1011FÉL0A1F20246,FÉL3Ö1,268
-1,O,10,11,1015OSS102F20246,FÉL3Ö1,268
-1,O,10,11,1015OSS111F20246,FÉL3Ö1,268
-1,O,10,11,1011FÉL0A1F20246,FÉL3Ö1,-1
-1,O,10,11,1011FÉL301F20246,FÉL3Ö1,-1
-1,O,10,11,1011FMÞ001F20246,FÉL3Ö1,-1
-1,O,10,11,1011FMÞ102F20246,FÉL3Ö1,-1
-1,O,10,11,1011FMÞ103F20246,FÉL3Ö1,-1
-1,C,10,11,1011FÉL0A1F20246,FÉL442,270
-1,C,10,11,1011FÉL018M20246,FÉL442,-1
1,M,10,11,1011FÉL0A1F20246,FÉL442,-1
-1,O,10,11,1011FÉL001F20246,FÉL442,-1
-1,O,10,11,1011FÉL090F20246,FÉL442,-1
-1,O,10,11,1011FFR102F20246,FÉL442,-1
-1,O,10,11,1011FFR302M20246,FÉL442,-1
-1,O,10,11,1011FMÞ001F20246,FÉL442,-1
1,M,10,11,1011FMÞ103F20246,FÉL442,-1
-1,O,10,11,1011MAN018F20246,FÉL442,-1
-1,O,10,11,1011MAN095F20246,FÉL442,-1
-1,O,10,11,1011MAN0A3F20246,FÉL442,-1
-1,O,10,11,1011MAN509M20246,FÉL442,-1
-1,O,10,11,1011SAF002F20246,FÉL442,-1
-1,O,10,11,1011SAF016F20246,FÉL442,-1
-1,O,10,11,1011ÞJÓ110F20246,FÉL442,-1
-1,O,10,11,1011ÞJÓ506M20246,FÉL442,-1
-1,O,10,11,1015KYN101F20246,FÉL442,-1
1,M,10,11,1011FÉL301F20246,FÉL442,-1
1,M,10,11,1011FÉL302F20246,FÉL442,-1
1,M,10,11,1011FMÞ102F20246,FÉL442,-1
2,M,10,11,1011FÉL441L20246,FÉL442,-1
-1,C,10,11,1011FÉL018M20246,FÉL443,-1
-1,C,10,11,1013HAG104M20246,FÉL443,-1
-1,C,10,11,1013HAG122F20246,FÉL443,-1
-1,C,10,11,2023LÝÐ301F20246,FÉL443,-1
-1,C,10,11,5051IÐN113F20246,FÉL443,-1
-1,C,10,11,5055MAS102M20246,FÉL443,-1
-1,C,10,11,5055MAS103M20246,FÉL443,-1
1,C,10,11,1011FMÞ103F20246,FÉL443,-1
1,M,10,11,1011FÉL301F20246,FÉL443,-1
