building_name,building_id,room_id,room_name,type,type_name,capacity
Aðalbygging,4,1855,E,21.0,Opið rými,
Aðalbygging,4,66,A-218,7.0,Skrifstofa,
Aðalbygging,4,1902,Rafhjól,34.0,Hjól,
Aðalbygging,4,1906,A-223a fundarherbergi,13.0,Herbergi,8.0
Aðalbygging,4,2005,Saga-Grillið Sérrými,5.0,Fundarherbergi,
Aðalbygging,4,2089,"EIR-201Ca, færnistofa",24.0,Verknámsstofa,10.0
Aðalbygging,4,1797,ekkert,7.0,Skrifstofa,
Aðalbygging,4,1732,Turn,7.0,Skrifstofa,
Aðalbygging,4,1726,A-047,7.0,Skrifstofa,
Aðalbygging,4,28,A-303,8.0,Kaffistofa,
Aðalbygging,4,62,A-207,7.0,Skrifstofa,36.0
Aðalbygging,4,70,A-313,7.0,Skrifstofa,
Aðalbygging,4,31,A-316,7.0,Skrifstofa,
Aðalbygging,4,37,A-318,7.0,Skrifstofa,
Aðalbygging,4,38,A-319,7.0,Skrifstofa,
Aðalbygging,4,56,A-324,7.0,Skrifstofa,
Aðalbygging,4,71,A-070,13.0,Herbergi,
Aðalbygging,4,102,A-103,7.0,Skrifstofa,
Aðalbygging,4,30,A-315,7.0,Skrifstofa,
Aðalbygging,4,100,A-228,7.0,Skrifstofa,
Aðalbygging,4,42,A-325,7.0,Skrifstofa,
Aðalbygging,4,79,A-007,7.0,Skrifstofa,
Aðalbygging,4,1646,A-004,7.0,Skrifstofa,
Aðalbygging,4,41,A-314,7.0,Skrifstofa,
Aðalbygging,4,103,A-104,7.0,Skrifstofa,
Aðalbygging,4,73,A-124,7.0,Skrifstofa,
Aðalbygging,4,91,A-126,7.0,Skrifstofa,
Aðalbygging,4,83,A-105,7.0,Skrifstofa,
Aðalbygging,4,96,A-106,7.0,Skrifstofa,
Aðalbygging,4,97,A-107,7.0,Skrifstofa,
Aðalbygging,4,98,A-108,7.0,Skrifstofa,
Aðalbygging,4,99,A-109,7.0,Skrifstofa,
Aðalbygging,4,89,A-121,7.0,Skrifstofa,
Aðalbygging,4,90,A-122,7.0,Skrifstofa,
Aðalbygging,4,72,A-123,7.0,Skrifstofa,
Aðalbygging,4,92,A-127,7.0,Skrifstofa,
Aðalbygging,4,105,A-160,7.0,Skrifstofa,
Aðalbygging,4,104,A-116,7.0,Skrifstofa,
Aðalbygging,4,95,A-164,7.0,Skrifstofa,
Aðalbygging,4,52,A-219,7.0,Skrifstofa,
Aðalbygging,4,88,A-120,7.0,Skrifstofa,
Aðalbygging,4,106,A-161,7.0,Skrifstofa,
Aðalbygging,4,107,A-162,7.0,Skrifstofa,
Aðalbygging,4,94,A-163,7.0,Skrifstofa,
Aðalbygging,4,27,A-302,8.0,Kaffistofa,
Aðalbygging,4,64,A-225,7.0,Skrifstofa,
Aðalbygging,4,54,A-223,7.0,Skrifstofa,
Aðalbygging,4,43,A-326,7.0,Skrifstofa,
Aðalbygging,4,44,A-327,7.0,Skrifstofa,
Aðalbygging,4,45,A-328,7.0,Skrifstofa,
Aðalbygging,4,51,A-330,7.0,Skrifstofa,
Aðalbygging,4,46,A-331,7.0,Skrifstofa,
Aðalbygging,4,47,A-332,7.0,Skrifstofa,
Aðalbygging,4,39,A-033,7.0,Skrifstofa,
Aðalbygging,4,40,A-034,7.0,Skrifstofa,
Aðalbygging,4,74,A-044,7.0,Skrifstofa,
Aðalbygging,4,75,A-045,7.0,Skrifstofa,
Aðalbygging,4,76,A-046,7.0,Skrifstofa,
Aðalbygging,4,57,A-333,7.0,Skrifstofa,
Aðalbygging,4,93,A-128,7.0,Skrifstofa,
Aðalbygging,4,1671,"A-131, bókastofa",28.0,Miðjan,
Aðalbygging,4,53,A-222,7.0,Skrifstofa,
Aðalbygging,4,12,A-148,7.0,Skrifstofa,
Aðalbygging,4,60,A-050,3.0,Kennslustofa,30.0
Aðalbygging,4,81,HÁTÍÐASALUR,1.0,Fyrirlestrasalur,180.0
Aðalbygging,4,2091,"EIR201CA, færnistofa",24.0,Verknámsstofa,10.0
Aðalbygging,4,1861,"Nissan Leaf RHF87, lykill á þjónustuborði Háskólatorgi",33.0,Bíll,5.0
Aðalbygging,4,61,A-051,3.0,Kennslustofa,24.0
Aðalbygging,4,15,A-052,3.0,Kennslustofa,36.0
Aðalbygging,4,65,A-220,3.0,Kennslustofa,40.0
Aðalbygging,4,67,A-229,3.0,Kennslustofa,20.0
Aðalbygging,4,1262,A-027,7.0,Skrifstofa,
Aðalbygging,4,1447,A-070,13.0,Herbergi,
Aðalbygging,4,4,A-139,7.0,Skrifstofa,
Aðalbygging,4,5,A-140,7.0,Skrifstofa,
Aðalbygging,4,6,A-141,7.0,Skrifstofa,
Aðalbygging,4,7,A-143,7.0,Skrifstofa,
Aðalbygging,4,2090,"EIR-201Ca, færnistofa",24.0,Verknámsstofa,10.0
Aðalbygging,4,1620,"A-201, 2. hæð",21.0,Opið rými,
Aðalbygging,4,2,A-137,7.0,Skrifstofa,
Aðalbygging,4,9,A-145,7.0,Skrifstofa,
Aðalbygging,4,10,A-146,7.0,Skrifstofa,
Aðalbygging,4,11,A-147,7.0,Skrifstofa,
Aðalbygging,4,63,A-217,13.0,Herbergi,
Aðalbygging,4,13, ,25.0,Vinnurými,
Aðalbygging,4,59,A-111,7.0,Skrifstofa,
Aðalbygging,4,19,A-021,7.0,Skrifstofa,
Aðalbygging,4,14,"A-049, bænaherbergi",13.0,Herbergi,
Aðalbygging,4,8,A-144,7.0,Skrifstofa,
Aðalbygging,4,29,A-304,7.0,Skrifstofa,
Aðalbygging,4,50,A-329,7.0,Skrifstofa,
Aðalbygging,4,25,KAPELLA,25.0,Vinnurými,
Aðalbygging,4,16,A-018,7.0,Skrifstofa,
Aðalbygging,4,17,A-019,7.0,Skrifstofa,
Aðalbygging,4,82,HÁTÍÐARSALUR - ekki í notkun,25.0,Vinnurými,
Aðalbygging,4,78,A-005,7.0,Skrifstofa,
Aðalbygging,4,84,A-114,7.0,Skrifstofa,
Aðalbygging,4,85,A-115,7.0,Skrifstofa,
Aðalbygging,4,86,A-117,7.0,Skrifstofa,
Aðalbygging,4,87,A-119,7.0,Skrifstofa,
Aðalbygging,4,1619,"A-101, 1. hæð",21.0,Opið rými,
Aðalbygging,4,1673,A-299,13.0,Herbergi,
Aðalbygging,4,55,"A-224, Doktorsherbergi",5.0,Fundarherbergi,
Aðalbygging,4,69,A-231,7.0,Skrifstofa,
Aðalbygging,4,18,A-020,7.0,Skrifstofa,
Aðalbygging,4,20,A-022,7.0,Skrifstofa,
Aðalbygging,4,21,A-023,7.0,Skrifstofa,
Aðalbygging,4,22,A-024,7.0,Skrifstofa,
Aðalbygging,4,23,A-025,7.0,Skrifstofa,
Aðalbygging,4,24,A-026,7.0,Skrifstofa,
Aðalbygging,4,77,A-048,13.0,Herbergi,
Aðalbygging,4,48,A-334,7.0,Skrifstofa,
Aðalbygging,4,32,A-335,7.0,Skrifstofa,
Aðalbygging,4,33,A-336,8.0,Kaffistofa,
Aðalbygging,4,34,A-337,7.0,Skrifstofa,
Aðalbygging,4,35,A-338,7.0,Skrifstofa,
Aðalbygging,4,36,A-339,7.0,Skrifstofa,
Aðalbygging,4,49,A-340,7.0,Skrifstofa,
Aðalbygging,4,58,A-053,7.0,Skrifstofa,
Aðalbygging,4,101,"A-110, Háskólaráðsherbergi bókað í Outlook",5.0,Fundarherbergi,
Aðalbygging,4,3,A-138 - fundarh.,7.0,Skrifstofa,
Aðalbygging,4,68,A-230,7.0,Skrifstofa,
Aðalbygging,4,1446,A-069,3.0,Kennslustofa,24.0
Aflfræðistofnun Selfossi,59,1537,,7.0,Skrifstofa,
Aragata 14,55,935,Ag14-209,31.0,Annað,
Aragata 14,55,936,Ag14-211,7.0,Skrifstofa,
Aragata 14,55,934,Ag14-207,31.0,Annað,
